"ID.Incidente","Fecha.Incidente","Hora.Incidente","Colonia","Latitud.Emergencia","Longitud.Emergencia","Categoría","Delito./.Emergencia","Género"
"31101",45788,0.731261574074074,"HUAPALCALCO",20.0145524702309,-98.2818719661406,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA ALCOHOLIZADA","Masculino"
"10306",46016,0.191018518518519,"HACIENDAS DE TIZAYUCA",19.9619894588446,-98.9300228781961,"MEDICO","INTOXICACIÓN ETÍLICA","Masculino"
"30102",45661,0.829027777777778,"SANTA CLARA",19.6532102606274,-98.5828965789953,"SEGURIDAD","OBJETO SOSPECHOSO O PELIGROSO","Masculino"
"30908",45866,0.651203703703704,"JORGE ROJO LUGO",20.1917077340812,-98.6776039807409,"SEGURIDAD","SUICIDIO","Masculino"
"50303",46021,0.378263888888889,"DEL CASTILLO",20.1004269351951,-98.7985474619834,"ASISTENCIA","MALTRATO DE ANIMALES","Femenino"
"30204",45813,0.682731481481482,"JARDINES DEL SUR",19.951390353017,-98.2927275860404,"SEGURIDAD","PORTACIÓN DE ARMAS O CARTUCHOS","Sin Especificar"
"50301",45734,0.663680555555556,"SAN MATEO 1RA",19.8790598567179,-99.4232760925974,"ASISTENCIA","APOYO A LA CIUDADANÍA","Sin Especificar"
"30903",45675,0.812384259259259,"FRACCIONAMIENTO LOS AMORES DE DON JUAN",19.7874016635343,-99.0877332301312,"SEGURIDAD","VIOLENCIA CONTRA LA MUJER","Sin Especificar"
"20404",45935,0.985636574074074,"BENITO JUAREZ",20.0561157214904,-98.5668853654857,"PROTECCIÓN CIVIL","OTROS RESCATES","Masculino"
"31101",45906,0.787638888888889,"LOMAS DE LA CANTERA",19.7145552280616,-99.3842353890035,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA ALCOHOLIZADA","Femenino"
"30502",45781,0.631180555555556,"SIN COLONIA",20.1854682375531,-99.0962955248795,"SEGURIDAD","VIOLENCIA DE PAREJA","Femenino"
"20311",45765,0.791458333333333,"MELCHOR OCAMPO (EL SALTO)",19.8466423201089,-99.1361407120451,"PROTECCIÓN CIVIL","OTROS INCENDIOS","Femenino"
"50301",45919,0.843368055555556,"EL MAGISTERIO",20.0748298944959,-98.4978671464681,"ASISTENCIA","APOYO A LA CIUDADANÍA","Femenino"
"30907",46015,0.869791666666667,"NICOLAS BRAVO",20.1035865408985,-99.2022499050834,"SEGURIDAD","PERSONA AGRESIVA","Femenino"
"30907",45973,0.991111111111111,"PASEOS DE CHAVARRIA",20.0549259733926,-98.8756283962354,"SEGURIDAD","PERSONA AGRESIVA","Masculino"
"30401",45677,0.167789351851852,"CENTRO TULA DE ALLENDE",20.0617990814209,-99.1559018473373,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Masculino"
"30904",45864,0.1153125,"MORELOS 6TA MZ",20.7651330667614,-99.6317892908452,"SEGURIDAD","PERSONA SOSPECHOSA","Femenino"
"30904",45919,0.125590277777778,"EL PALMAR",20.1304916249295,-98.6116468686094,"SEGURIDAD","PERSONA SOSPECHOSA","Femenino"
"30306",45736,0.26037037037037,"SAN MARCOS",19.9461377441247,-99.3286049118621,"SEGURIDAD","VEHÍCULO EN HUIDA","Sin Especificar"
"31101",45970,0.0562847222222222,"LOS ALAMOS",19.8051052398958,-99.3636786745418,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA ALCOHOLIZADA","Sin Especificar"
"30309",45962,0.873125,"CENTRO PACHUCA DE SOTO",20.1491978528913,-98.7786593526961,"SEGURIDAD","ACCIDENTE DE TRÁNSITO SIN LESIONADOS","Masculino"
"10311",45985,0.864756944444445,"PRIVADA CHIANTI",20.0693804641789,-98.8375446848994,"MEDICO","DOLOR ABDOMINAL / URGENCIA ABDOMINAL","Femenino"
"20110",45881,0.456493055555556,"MARBELLA PRIVADA ALCARAZ",19.6684412017064,-98.8956540109269,"PROTECCIÓN CIVIL","GASES TÓXICOS","Sin Especificar"
"30907",45750,0.883599537037037,"SAN BARTOLO",20.0813311051126,-98.6363604193234,"SEGURIDAD","PERSONA AGRESIVA","Masculino"
"30310",45870,0.523668981481482,"EL PALMAR",20.2007912818465,-98.8615964013134,"SEGURIDAD","OTRAS FALTAS AL REGLAMENTO DE TRÁNSITO","Sin Especificar"
"30305",45765,0.856944444444445,"EL CALVARIO",20.1587581817921,-99.1700578987196,"SEGURIDAD","VEHÍCULO A EXCESO DE VELOCIDAD","Femenino"
"31001",45683,0.822037037037037,"CARBONERAS",19.9892123980504,-98.6235954636216,"SEGURIDAD","ALLANAMIENTO DE MORADA","Sin Especificar"
"31102",45863,0.777256944444445,"VALLE DE SAN JAVIER",20.1006940857282,-98.7303730863766,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA DROGADA","Sin Especificar"
"50301",45873,0.90181712962963,"LAZARO CARDENAS",19.9791025978632,-99.0288071884409,"ASISTENCIA","APOYO A LA CIUDADANÍA","Masculino"
"40106",45715,0.584710648148148,"CENTRO PACHUCA DE SOTO",20.236661767662,-98.830554139328,"SERVICIOS PÚBLICOS","CABLES COLGANDO","Masculino"
"20311",45784,0.5640625,"CRUZ DE OMITLAN",20.0744194201666,-98.6968045090696,"PROTECCIÓN CIVIL","OTROS INCENDIOS","Masculino"
"30611",45812,0.727002314814815,"PASEOS DE CHAVARRIA",19.9573865631999,-98.5502274516771,"SEGURIDAD","NOTIFICACIÓN DE CIBER INCIDENTE","Femenino"
"10103",45865,0.765335648148148,"CENTRO SUR",20.2431829537501,-98.8497876448027,"MEDICO","ACCIDENTE DE MOTOCICLETA CON LESIONADOS","Femenino"
"50105",45772,0.137789351851852,"FRACC SAUCILLO",20.133100055893,-98.785075894954,"ASISTENCIA","RUIDO EXCESIVO","Sin Especificar"
"50105",45854,0.999826388888889,"EL TABLON",20.0458943550861,-99.0958693205607,"ASISTENCIA","RUIDO EXCESIVO","Femenino"
"31101",45976,0.998784722222222,"MONTE ALEGRE",20.0793051231072,-99.0568705647145,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA ALCOHOLIZADA","Femenino"
"30204",45960,0.877337962962963,"SINGUILUCAN CENTRO",19.989007958252,-98.5209584334069,"SEGURIDAD","PORTACIÓN DE ARMAS O CARTUCHOS","Sin Especificar"
"30504",45852,0.9171875,"EL PEDREGAL",19.7974014602938,-98.9981772983169,"SEGURIDAD","OTROS ACTOS RELACIONADOS CON LA FAMILIA","Femenino"
"30401",45909,0.948402777777778,"ATOTONILCO EL GRANDE CENTRO",20.306012281361,-98.5730382088969,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Femenino"
"10316",45926,0.508090277777778,"FRACC HUIXMI",20.1243466978967,-98.7694578072521,"MEDICO","OTROS INCIDENTES MÉDICOS CLINICOS","Femenino"
"20203",45772,0.921712962962963,"SIN COLONIA",20.3236303669215,-98.6760656689741,"PROTECCIÓN CIVIL","ENJAMBRE DE ABEJAS","Sin Especificar"
"50105",45704,0.0523263888888889,"MORELOS 1A SECCION",20.3047141082065,-98.6594904640496,"ASISTENCIA","RUIDO EXCESIVO","Femenino"
"30903",45719,0.860115740740741,"PUERTO DE LA ESTANCIA",20.6942536745636,-99.2839714348193,"SEGURIDAD","VIOLENCIA CONTRA LA MUJER","Femenino"
"10308",46021,0.309097222222222,"CENTRO PACHUCA DE SOTO",20.1794035406419,-98.8579217683299,"MEDICO","PERSONA INCONSCIENTE / URGENCIA NEUROLÓGICA","Masculino"
