"CVE_MUN","INCIDENTE","TOTAL","NOM_MUN"
"001","ABUSO DE CONFIANZA",1,"Acatlán"
"001","ACCIDENTE DE MOTOCICLETA CON LESIONADOS",27,"Acatlán"
"001","ACCIDENTE DE TRÁNSITO SIN LESIONADOS",18,"Acatlán"
"001","ACCIDENTE DE VEHÍCULO AUTOMOTOR CON LESIONADOS",11,"Acatlán"
"001","ACCIDENTE MÚLTIPLE CON LESIONADOS",1,"Acatlán"
"001","ALLANAMIENTO DE MORADA",5,"Acatlán"
"001","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA ALCOHOLIZADA",9,"Acatlán"
"001","AMENAZA",1,"Acatlán"
"001","AMENAZA DE ABORTO",2,"Acatlán"
"001","ANIMAL PELIGROSO",1,"Acatlán"
"001","APOYO A LA CIUDADANÍA",22,"Acatlán"
"001","APOYO A OTRO ESTADO",1,"Acatlán"
"001","ASFIXIA",1,"Acatlán"
"001","ATROPELLAMIENTO",2,"Acatlán"
"001","CABLES COLGANDO",1,"Acatlán"
"001","CAÍDA",6,"Acatlán"
"001","CONDUCTOR EBRIO",4,"Acatlán"
"001","CONSUMO DE ALCOHOL EN VÍA PÚBLICA",1,"Acatlán"
"001","CONTAMINACIÓN DE SUELO, AIRE Y AGUA",1,"Acatlán"
"001","CORTO CIRCUITO",1,"Acatlán"
"001","DAÑO A PROPIEDAD AJENA",2,"Acatlán"
"001","DETONACIÓN DE ARMA DE FUEGO",18,"Acatlán"
"001","DETONACIÓN DE COHETES O FUEGOS ARTIFICIALES",1,"Acatlán"
"001","DIFICULTAD RESPIRATORIA / URGENCIA RESPIRATORIA",7,"Acatlán"
"001","DOLOR ABDOMINAL / URGENCIA ABDOMINAL",1,"Acatlán"
"001","ENJAMBRE DE ABEJAS",8,"Acatlán"
"001","EXTORSIÓN TELEFÓNICA",2,"Acatlán"
"001","FALLECIDO DE CAUSA NATURAL",2,"Acatlán"
"001","FALLECIDO DE CAUSA TRAUMÁTICA",2,"Acatlán"
"001","FRACTURADO/TRAUMATISMO DE EXTREMIDADES",1,"Acatlán"
"001","FRAUDE",2,"Acatlán"
"001","FUGAS Y DERRAMES DE SUSTANCIAS QUÍMICAS",2,"Acatlán"
"001","GASES TÓXICOS",2,"Acatlán"
"001","HEMORRAGIA",2,"Acatlán"
