"region","nom_mun"
"REGIÓN METROPOLITANA","Pachuca de Soto"
"REGIÓN METROPOLITANA","Mineral de la Reforma"
"REGIÓN METROPOLITANA","Tizayuca"
"REGIÓN METROPOLITANA","Actopan"
"REGIÓN METROPOLITANA","San Agustín Tlaxiaca"
"REGIÓN METROPOLITANA","Mineral del Monte"
"REGIÓN METROPOLITANA","Zempoala"
"REGIÓN METROPOLITANA","Tolcayuca"
"REGIÓN METROPOLITANA","Epazoyucan"
"REGIÓN METROPOLITANA","Huasca de Ocampo"
"REGIÓN METROPOLITANA","Omitlán de Juárez"
"REGIÓN METROPOLITANA","Zapotlán de Juárez"
"REGIÓN METROPOLITANA","Almoloya"
"REGIÓN METROPOLITANA","El Arenal"
"REGIÓN METROPOLITANA","Metztitlán"
"REGIÓN METROPOLITANA","Mineral del Chico"
"REGIÓN METROPOLITANA","Molango de Escamilla"
"REGIÓN METROPOLITANA","San Agustín Metzquititlán"
"REGIÓN METROPOLITANA","San Salvador"
"REGIÓN METROPOLITANA","Santiago de Anaya"
"REGIÓN METROPOLITANA","Villa de Tezontepec"
"REGIÓN METROPOLITANA","Xochicoatlán"
"REGIÓN METROPOLITANA","Zacualtipán de Ángeles"
"REGIÓN METROPOLITANA","Eloxochitlán"
"REGIÓN METROPOLITANA","Juárez Hidalgo"
"REGIÓN METROPOLITANA","Lolotla"
"REGIÓN METROPOLITANA","Tepehuacán de Guerrero"
"REGIÓN METROPOLITANA","Tianguistengo"
"REGIÓN DEL ALTIPLANO","Tulancingo de Bravo"
"REGIÓN DEL ALTIPLANO","Apan"
"REGIÓN DEL ALTIPLANO","Atotonilco el Grande"
"REGIÓN DEL ALTIPLANO","Tepeapulco"
"REGIÓN DEL ALTIPLANO","Acaxochitlán"
"REGIÓN DEL ALTIPLANO","Tlanalapa"
"REGIÓN DEL ALTIPLANO","Cuautepec de Hinojosa"
"REGIÓN DEL ALTIPLANO","Acatlán"
"REGIÓN DEL ALTIPLANO","Santiago Tulantepec de Lugo Guerrero"
"REGIÓN DEL ALTIPLANO","Emiliano Zapata"
"REGIÓN DEL ALTIPLANO","Agua Blanca de Iturbide"
"REGIÓN DEL ALTIPLANO","Singuilucan"
"REGIÓN DEL ALTIPLANO","Tenango de Doria"
"REGIÓN DEL ALTIPLANO","Huehuetla"
"REGIÓN DEL ALTIPLANO","Metepec"
"REGIÓN DEL ALTIPLANO","San Bartolo Tutotepec"
"REGIÓN VALLE EL MEZQUITAL","Tula de Allende"
"REGIÓN VALLE EL MEZQUITAL","Atitalaquia"
"REGIÓN VALLE EL MEZQUITAL","Tlahuelilpan"
"REGIÓN VALLE EL MEZQUITAL","Tlaxcoapan"
"REGIÓN VALLE EL MEZQUITAL","Tepeji del Río de Ocampo"
"REGIÓN VALLE EL MEZQUITAL","Ixmiquilpan"
"REGIÓN VALLE EL MEZQUITAL","Mixquiahuala de Juárez"
"REGIÓN VALLE EL MEZQUITAL","Progreso de Obregón"
"REGIÓN VALLE EL MEZQUITAL","Tezontepec de Aldama"
"REGIÓN VALLE EL MEZQUITAL","Atotonilco de Tula"
"REGIÓN VALLE EL MEZQUITAL","Huichapan"
"REGIÓN VALLE EL MEZQUITAL","Tecozautla"
"REGIÓN VALLE EL MEZQUITAL","Ajacuba"
"REGIÓN VALLE EL MEZQUITAL","Nopala de Villagrán"
"REGIÓN VALLE EL MEZQUITAL","Tepetitlán"
"REGIÓN VALLE EL MEZQUITAL","Francisco I. Madero"
"REGIÓN VALLE EL MEZQUITAL","Tasquillo"
"REGIÓN VALLE EL MEZQUITAL","Tetepango"
"REGIÓN VALLE EL MEZQUITAL","Alfajayucan"
"REGIÓN VALLE EL MEZQUITAL","Cardonal"
"REGIÓN VALLE EL MEZQUITAL","Chapantongo"
"REGIÓN VALLE EL MEZQUITAL","Chilcuautla"
"REGIÓN VALLE EL MEZQUITAL","Jacala de Ledezma"
"REGIÓN VALLE EL MEZQUITAL","Pacula"
"REGIÓN VALLE EL MEZQUITAL","Tlahuiltepa"
"REGIÓN VALLE EL MEZQUITAL","Zimapán"
"REGIÓN VALLE EL MEZQUITAL","Chapulhuacán"
"REGIÓN VALLE EL MEZQUITAL","La Misión"
"REGIÓN VALLE EL MEZQUITAL","Nicolás Flores"
"REGIÓN VALLE EL MEZQUITAL","Pisaflores"
"REGIÓN DE LA HUASTECA","Huejutla de Reyes"
"REGIÓN DE LA HUASTECA","Atlapexco"
"REGIÓN DE LA HUASTECA","Huautla"
"REGIÓN DE LA HUASTECA","Huazalingo"
"REGIÓN DE LA HUASTECA","Jaltocán"
"REGIÓN DE LA HUASTECA","Calnali"
"REGIÓN DE LA HUASTECA","San Felipe Orizatlán"
"REGIÓN DE LA HUASTECA","Tlanchinol"
"REGIÓN DE LA HUASTECA","Xochiatipan"
"REGIÓN DE LA HUASTECA","Yahualica"
